name,ra_h,dec_d,magnitude,obj_type,common_name,notes
M1,5.5756,22.0167,8.4,Supernova Remnant,Crab Nebula,Remnant of 1054 supernova; has a pulsar at its center
M2,21.5578,-0.8167,6.5,Globular Cluster,,One of the largest and richest globular clusters
M3,13.7033,28.3833,6.2,Globular Cluster,,Contains around 500000 stars; one of the best northern globulars
M4,16.3933,-26.5250,5.6,Globular Cluster,,Closest globular cluster to Earth at ~7200 light-years
M5,15.3100,2.0833,5.6,Globular Cluster,,One of the oldest and largest globular clusters known
M6,17.6683,-32.2167,4.2,Open Cluster,Butterfly Cluster,Shape resembles a butterfly; ~100 stars
M7,17.8983,-34.8167,3.3,Open Cluster,Ptolemy Cluster,Mentioned by Ptolemy in 130 AD; naked-eye object
M8,18.0633,-24.3833,5.8,Emission Nebula,Lagoon Nebula,Large star-forming region with a prominent dark rift
M9,17.3200,-18.5167,8.4,Globular Cluster,,One of the nearer globular clusters to the galactic center
M10,16.9517,-4.1000,6.6,Globular Cluster,,Rich globular; companion to M12 in Ophiuchus
M11,18.8517,-6.2667,5.8,Open Cluster,Wild Duck Cluster,One of the richest and most compact open clusters
M12,16.7867,-1.9500,6.7,Globular Cluster,,Loose globular cluster in Ophiuchus
M13,16.6950,36.4667,5.8,Globular Cluster,Hercules Cluster,Best globular in the northern sky; Arecibo message target
M14,17.6267,-3.2500,8.3,Globular Cluster,,Rich globular in Ophiuchus; shows a faint haze in binoculars
M15,21.4983,12.1667,6.2,Globular Cluster,Pegasus Cluster,One of the most densely packed globular clusters; contains a planetary nebula
M16,18.3133,-13.7833,6.0,Open Cluster+Nebula,Eagle Nebula,Home of the famous Pillars of Creation; young star cluster in nebulosity
M17,18.3467,-16.1833,6.0,Emission Nebula,Omega Nebula,Also called Swan or Checkmark Nebula; bright star-forming region
M18,18.3317,-17.1333,7.5,Open Cluster,,Sparse open cluster in Sagittarius
M19,17.0433,-26.2667,7.5,Globular Cluster,,One of the most oblate globular clusters known
M20,18.0433,-23.0333,8.5,Emission+Reflection Nebula,Trifid Nebula,Three-lobed nebula split by dark dust lanes
M21,18.0767,-22.5000,6.5,Open Cluster,,Young open cluster near the Trifid Nebula
M22,18.6067,-23.9000,5.1,Globular Cluster,Sagittarius Cluster,One of the brightest globulars; resolvable in binoculars
M23,17.9467,-19.0167,5.5,Open Cluster,,Large scattered open cluster in Sagittarius
M24,18.2817,-18.4833,4.5,Star Cloud,Sagittarius Star Cloud,Dense star cloud; not a true cluster — a window into the Milky Way core
M25,18.5267,-19.2500,4.6,Open Cluster,,Bright open cluster containing a Cepheid variable star
M26,18.7533,-9.4000,8.0,Open Cluster,,Moderate-brightness open cluster in Scutum
M27,19.9933,22.7167,7.4,Planetary Nebula,Dumbbell Nebula,Brightest and largest planetary nebula in the sky; easy in binoculars
M28,18.4083,-24.8667,8.5,Globular Cluster,,Compact globular near M22 in Sagittarius
M29,20.3983,38.5333,7.1,Open Cluster,,Small sparse open cluster in Cygnus
M30,21.6733,-23.1833,7.7,Globular Cluster,,Compact globular with a dense core in Capricornus
M31,0.7117,41.2667,3.4,Galaxy,Andromeda Galaxy,Largest galaxy in the Local Group; 2.5 million light-years away; naked eye from dark sites
M32,0.7117,40.8667,8.7,Elliptical Galaxy,,Compact dwarf elliptical companion to M31
M33,1.5650,30.6500,5.7,Spiral Galaxy,Triangulum Galaxy,Third-largest Local Group member; low surface brightness makes it tricky
M34,2.7000,42.7833,5.2,Open Cluster,,Bright scattered open cluster in Perseus; nice in binoculars
M35,6.1483,24.3333,5.1,Open Cluster,,Rich open cluster at the foot of Gemini; has a fainter background cluster NGC 2158
M36,5.6017,34.1333,6.0,Open Cluster,,One of three bright clusters in Auriga
M37,5.8733,32.5500,5.6,Open Cluster,,Richest and most compressed of the Auriga trio
